word,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
abstention,0,0,0,0,0,0,0,0,0,0
abstinence,0,0,0,0,0,0,0,0,0,0
abstract,0,0,0,0,0,0,0,0,0,0
abstraction,0,0,0,0,0,0,0,0,0,0
absurd,0,1,0,0,0,0,0,0,0,0
absurdity,0,1,0,0,0,0,0,0,0,0
abundance,1,1,0,1,1,0,1,0,0,1
abundant,1,0,0,0,0,0,1,0,0,0
abuse,0,1,1,0,1,1,0,1,0,0
abutment,0,0,0,0,0,0,0,0,0,0
aby,0,0,0,0,0,0,0,0,0,0
abysmal,0,1,0,0,0,0,0,1,0,0
abyss,0,1,0,0,0,1,0,1,0,0
academic,1,0,0,0,0,0,0,0,0,1
academy,1,0,0,0,0,0,0,0,0,0
accede,0,0,0,0,0,0,0,0,0,0
accelerate,0,0,0,1,0,0,0,0,0,0
acceleration,0,0,0,0,0,0,0,0,0,0
accent,0,0,0,0,0,0,0,0,0,0
accentuate,0,0,0,0,0,0,0,0,0,0
accept,0,0,0,0,0,0,0,0,0,0
acceptable,1,0,0,0,0,0,0,0,0,0
acceptance,1,0,0,0,0,0,0,0,0,0
access,0,0,0,0,0,0,0,0,0,0
accessible,1,0,0,0,0,0,0,0,0,0
accession,0,0,0,0,0,0,0,0,0,0
accessory,0,0,0,0,0,0,0,0,0,0
accident,0,1,0,0,0,1,0,1,1,0
accidental,0,1,0,0,0,1,0,0,1,0
accidentally,0,0,0,0,0,0,0,0,1,0
accolade,1,0,0,1,0,0,1,0,1,1
accommodate,0,0,0,0,0,0,0,0,0,0
accommodation,1,0,0,0,0,0,0,0,0,0
accompaniment,1,0,0,1,0,0,1,0,0,1
accompany,0,0,0,0,0,0,0,0,0,0
accompanying,0,0,0,0,0,0,0,0,0,0
accomplice,0,0,0,0,0,0,0,0,0,0
accomplish,1,0,0,0,0,0,1,0,0,0
accomplished,1,0,0,0,0,0,1,0,0,0
accomplishment,1,0,0,0,0,0,0,0,0,0
accord,1,0,0,0,0,0,0,0,0,1
accordance,0,0,0,0,0,0,0,0,0,0
accordion,0,0,0,0,0,0,0,0,0,0
account,0,0,0,0,0,0,0,0,0,1
accountability,1,0,0,0,0,0,0,0,0,1
accountable,1,0,0,0,0,0,0,0,0,1
accountant,0,0,0,0,0,0,0,0,0,1
accounting,0,0,0,0,0,0,0,0,0,0
accounts,0,0,0,0,0,0,0,0,0,1
accredited,1,0,0,0,0,0,0,0,0,1
accretion,0,0,0,0,0,0,0,0,0,0
accrue,0,0,0,0,0,0,0,0,0,0
accueil,1,0,0,0,0,0,0,0,0,0
accumulate,0,0,0,0,0,0,0,0,0,0
accumulation,0,0,0,0,0,0,0,0,0,0
accuracy,0,0,0,0,0,0,0,0,0,0
accurate,1,0,0,0,0,0,0,0,0,1
accursed,0,1,1,0,0,1,0,1,0,0
accusation,0,1,1,0,1,0,0,0,0,0
accusative,0,1,0,0,0,0,0,0,0,0
accused,0,1,1,0,0,1,0,0,0,0
accuser,0,1,1,0,0,1,0,0,0,0
accusing,0,1,1,0,0,1,0,0,0,0
accustomed,0,0,0,0,0,0,0,0,0,0
ace,1,0,0,0,0,0,0,0,0,0
acetic,0,0,0,0,0,0,0,0,0,0
ache,0,1,0,0,0,0,0,1,0,0
achieve,1,0,0,0,0,0,1,0,0,1
achievement,1,0,0,1,0,0,1,0,0,1
aching,0,1,0,0,0,0,0,1,0,0
acid,0,1,0,0,0,0,0,0,0,0
acidity,0,0,0,0,0,0,0,0,0,0
acknowledge,0,0,0,0,0,0,0,0,0,0
acknowledged,0,0,0,0,0,0,0,0,0,0
acknowledgment,1,0,0,0,0,0,0,0,0,0
acme,0,0,0,0,0,0,0,0,0,0
acoustic,0,0,0,0,0,0,0,0,0,0
acoustics,0,0,0,0,0,0,0,0,0,0
acquaint,0,0,0,0,0,0,0,0,0,0
acquaintance,0,0,0,0,0,0,0,0,0,0
acquainted,0,0,0,0,0,0,0,0,0,0
acquiescence,0,0,0,0,0,0,0,0,0,0
acquire,1,0,0,0,0,0,0,0,0,0
acquiring,1,0,0,1,0,0,0,0,0,0
acquisition,0,0,0,0,0,0,0,0,0,0
acquisitions,0,0,0,0,0,0,0,0,0,0
acreage,0,0,0,0,0,0,0,0,0,0
acres,0,0,0,0,0,0,0,0,0,0
acrobat,1,0,0,0,0,1,1,0,0,1
act,0,0,0,0,0,0,0,0,0,0
acting,0,0,0,0,0,0,0,0,0,0
action,1,0,0,0,0,0,0,0,0,0
actionable,0,1,1,0,1,0,0,0,0,0
active,0,0,0,0,0,0,0,0,0,0
activity,0,0,0,0,0,0,0,0,0,0
actor,0,0,0,0,0,0,0,0,0,0
actual,1,0,0,0,0,0,0,0,0,0
actuality,0,0,0,0,0,0,0,0,0,0
actuary,0,0,0,0,0,0,0,0,0,0
acuity,1,0,0,0,0,0,0,0,0,0
acumen,1,0,0,0,0,0,0,0,0,0
acupuncture,0,0,0,0,0,0,0,0,0,0
acutely,0,0,0,0,0,0,0,0,0,0
adage,0,0,0,0,0,0,0,0,0,0
adamant,0,0,0,0,0,0,0,0,0,0
adapt,1,0,0,0,0,0,0,0,0,0
adaptable,1,0,0,0,0,0,0,0,0,0
add,0,0,0,0,0,0,0,0,0,0
added,0,0,0,0,0,0,0,0,0,0
addendum,0,0,0,0,0,0,0,0,0,0
adder,0,1,1,0,1,1,0,1,0,0
addiction,0,1,0,0,0,0,0,0,0,0
addition,0,0,0,0,0,0,0,0,0,0
additional,0,0,0,0,0,0,0,0,0,0
additive,0,0,0,0,0,0,0,0,0,0
address,0,0,0,0,0,0,0,0,0,0
addressee,0,0,0,0,0,0,0,0,0,0
addresses,1,0,0,1,0,0,0,0,0,0
adept,1,0,0,0,0,0,0,0,0,0
adequacy,1,0,0,0,0,0,0,0,0,0
adequate,0,0,0,0,0,0,0,0,0,0
adhere,0,0,0,0,0,0,0,0,0,0
adherence,0,0,0,0,0,0,0,0,0,0
adherent,0,0,0,0,0,0,0,0,0,0
adhering,0,0,0,0,0,0,0,0,0,1
adhesion,0,0,0,0,0,0,0,0,0,0
adhesive,0,0,0,0,0,0,0,0,0,0
adieu,0,0,0,0,0,0,0,0,0,0
adipose,0,1,0,0,0,0,0,0,0,0
adjacency,0,0,0,0,0,0,0,0,0,0
adjacent,0,0,0,0,0,0,0,0,0,0
adjective,0,0,0,0,0,0,0,0,0,0
adjoining,0,0,0,0,0,0,0,0,0,0
adjourn,0,0,0,0,0,0,0,0,0,0
adjournment,0,0,0,0,0,0,0,0,0,0
adjudicate,0,1,0,0,0,1,0,0,0,0
adjudication,0,0,0,0,0,0,0,0,0,0
adjunct,1,0,0,0,0,0,0,0,0,0
adjust,0,0,0,0,0,0,0,0,0,0
adjustment,0,0,0,0,0,0,0,0,0,0
adjuvant,0,0,0,0,0,0,0,0,0,0
administer,0,0,0,0,0,0,0,0,0,0
administration,0,0,0,0,0,0,0,0,0,0
administrative,0,0,0,0,0,0,0,0,0,1
admirable,1,0,0,0,0,0,1,0,0,1
admiral,1,0,0,0,0,0,0,0,0,1
admiralty,0,0,0,0,0,0,0,0,0,0
admiration,1,0,0,0,0,0,1,0,0,1
admire,1,0,0,0,0,0,0,0,0,1
admirer,1,0,0,0,0,0,0,0,0,0
admissibility,0,0,0,0,0,0,0,0,0,0
admissible,1,0,0,0,0,0,0,0,0,1
admission,0,0,0,0,0,0,0,0,0,0
admit,0,0,0,0,0,0,0,0,0,0
admittance,0,0,0,0,0,0,0,0,0,0
admitted,0,0,0,0,0,0,0,0,0,0
admitting,0,0,0,0,0,0,0,0,0,0
admixture,0,0,0,0,0,0,0,0,0,0
admonition,0,1,0,0,0,1,0,0,0,0
ado,0,0,0,0,0,0,0,0,0,0
adobe,0,0,0,0,0,0,0,0,0,0
adolescence,0,0,0,0,0,0,0,0,0,0
adolescent,0,0,0,0,0,0,0,0,0,0
adopt,0,0,0,0,0,0,0,0,0,0
adoption,0,0,0,0,0,0,0,0,0,0
adorable,1,0,0,0,0,0,1,0,0,0
adoration,1,0,0,0,0,0,1,0,0,1
adore,1,0,0,1,0,0,1,0,0,1
adorn,0,0,0,0,0,0,0,0,0,0
adornment,0,0,0,0,0,0,0,0,0,0
adrift,0,1,0,1,0,1,0,1,0,0
adult,0,0,0,0,0,0,0,0,0,0
adulterated,0,1,0,0,0,0,0,0,0,0
adultery,0,1,0,0,1,0,0,1,0,0
advance,1,0,0,1,0,1,1,0,1,0
advanced,1,0,0,0,0,0,0,0,0,0
advancement,1,0,0,0,0,0,0,0,0,0
advancing,0,0,0,0,0,0,0,0,0,0
advantage,1,0,0,0,0,0,0,0,0,0
advantageous,1,0,0,0,0,0,0,0,0,0
advent,1,0,0,1,0,0,1,0,0,1
adventure,1,0,0,1,0,0,0,0,0,0
adventurer,0,0,0,0,0,0,0,0,0,0
adventurous,1,0,0,0,0,0,0,0,0,0
adversary,0,1,1,0,0,0,0,0,0,0
adverse,0,1,1,0,1,1,0,1,0,0
adversity,0,1,1,0,0,1,0,1,0,0
advertise,0,0,0,0,0,0,0,0,0,0
advertisement,0,0,0,0,0,0,0,0,0,0
advice,0,0,0,0,0,0,0,0,0,1
advisable,1,0,0,0,0,0,0,0,0,1
advise,1,0,0,0,0,0,0,0,0,1
advised,0,0,0,0,0,0,0,0,0,1
advisement,0,0,0,0,0,0,0,0,0,0
adviser,1,0,0,0,0,0,0,0,0,1
advocacy,1,0,1,1,0,0,1,0,0,1
advocate,0,0,0,0,0,0,0,0,0,1
aegis,0,0,0,0,0,0,0,0,0,0
aeration,0,0,0,0,0,0,0,0,0,0
aerial,0,0,0,0,0,0,0,0,0,0
aerodrome,0,0,0,0,0,0,0,0,0,0
aerodynamics,0,0,0,0,0,0,0,0,0,0
aeronautics,0,0,0,0,0,0,0,0,0,0
aeroplane,0,0,0,0,0,0,0,0,0,0
aesthetic,1,0,0,0,0,0,0,0,0,0
aesthetics,1,0,0,0,0,0,1,0,0,0
aetiology,0,0,0,0,0,0,0,0,0,0
afar,0,0,0,0,0,0,0,0,0,0
affable,1,0,0,0,0,0,0,0,0,0
affair,0,0,0,0,0,0,0,0,0,0
affecting,0,0,0,0,0,0,0,0,0,0
affection,1,0,0,0,0,0,1,0,0,1
affections,0,0,0,0,0,0,0,0,0,0
affiche,0,0,0,0,0,0,0,0,0,0
affidavit,0,0,0,0,0,0,0,0,0,0
affiliated,1,0,0,0,0,0,0,0,0,0
affiliation,0,0,0,0,0,0,0,0,0,0
affinity,0,0,0,0,0,0,0,0,0,0
affirm,1,0,0,0,0,0,0,0,0,1
affirmation,1,0,0,0,0,0,0,0,0,0
affirmative,1,0,0,0,0,0,0,0,0,0
affirmatively,1,0,0,0,0,0,0,0,0,1
affix,0,0,0,0,0,0,0,0,0,0
afflict,0,1,0,0,0,1,0,1,0,0
afflicted,0,1,0,0,0,0,0,0,0,0
affliction,0,1,0,0,1,1,0,1,0,0
affluence,1,0,0,0,0,0,1,0,0,0
affluent,1,0,0,0,0,0,0,0,0,0
afford,1,0,0,0,0,0,0,0,0,0
affront,0,1,1,0,1,1,0,1,1,0
afield,0,0,0,0,0,0,0,0,0,0
afore,0,0,0,0,0,0,0,0,0,0
aforementioned,0,0,0,0,0,0,0,0,0,0
aforesaid,0,0,0,0,0,0,0,0,0,0
afraid,0,1,0,0,0,1,0,0,0,0
afresh,0,0,0,0,0,0,0,0,0,0
aft,0,0,0,0,0,0,0,0,0,0
aftermath,0,1,1,0,1,1,0,1,0,0
afternoon,0,0,0,0,0,0,0,0,0,0
aftertaste,0,1,0,0,0,0,0,0,0,0
afterthought,0,0,0,0,0,0,0,0,0,0
aga,1,0,0,0,0,1,0,0,0,1
agate,0,0,0,0,0,0,0,0,0,0
age,0,0,0,0,0,0,0,0,0,0
aged,0,0,0,0,0,0,0,0,0,0
agency,0,0,0,0,0,0,0,0,0,0
agent,0,0,0,0,0,0,0,0,0,0
agglomeration,0,0,0,0,0,0,0,0,0,0
aggravated,0,1,1,0,0,0,0,0,0,0
aggravating,0,1,1,0,0,0,0,1,0,0
aggravation,0,1,1,0,1,0,0,0,0,0
aggregate,0,0,0,0,0,0,0,0,0,0
aggregation,0,0,0,0,0,0,0,0,0,0
aggression,0,1,1,0,0,1,0,0,0,0
aggressive,0,1,1,0,0,1,0,0,0,0
aggressor,0,1,1,0,0,1,0,0,0,0
aghast,0,1,0,0,1,1,0,0,1,0
agile,1,0,0,0,0,0,0,0,0,0
agility,1,0,0,0,0,0,0,0,0,0
agitated,0,1,1,0,0,0,0,0,0,0
agitation,0,1,1,0,0,0,0,0,0,0
agnostic,0,0,0,0,0,0,0,0,0,0
ago,0,0,0,0,0,0,0,0,0,0
agonizing,0,1,0,0,0,1,0,0,0,0
agony,0,1,1,0,0,1,0,1,0,0
agree,1,0,0,0,0,0,0,0,0,0
agreeable,1,0,0,0,0,0,0,0,0,1
agreed,1,0,0,0,0,0,0,0,0,1
agreeing,1,0,0,0,0,0,0,0,0,1
agreement,1,0,0,0,0,0,0,0,0,1
agricultural,0,0,0,0,0,0,0,0,0,0
agriculture,1,0,0,0,0,0,0,0,0,0
aground,0,1,0,0,0,0,0,0,0,0
agua,0,0,0,0,0,0,0,0,0,0
ahead,1,0,0,0,0,0,0,0,0,0
aid,1,0,0,0,0,0,0,0,0,0
aiding,1,0,0,0,0,0,0,0,0,0
ail,0,1,0,0,0,0,0,1,0,0
ailing,0,1,0,0,0,1,0,1,0,0
ailment,0,0,0,0,0,0,0,0,0,0
aim,0,0,0,0,0,0,0,0,0,0
aimless,0,1,0,0,0,0,0,0,0,0
air,0,0,0,0,0,0,0,0,0,0
airbag,0,0,0,0,0,0,0,0,0,0
airlift,0,0,0,0,0,0,0,0,0,0
airline,0,0,0,0,0,0,0,0,0,0
airman,0,0,0,0,0,0,0,0,0,0
airplane,0,0,0,0,0,0,0,0,0,0
airport,0,0,0,1,0,0,0,0,0,0
airs,0,1,0,0,1,0,0,0,0,0
airship,0,0,0,0,0,0,0,0,0,0
aisle,0,0,0,0,0,0,0,0,0,0
ait,0,0,0,0,0,0,0,0,0,0
ajar,0,0,0,0,0,0,0,0,0,0
akin,0,0,0,0,0,0,0,0,0,1
alabaster,1,0,0,0,0,0,0,0,0,0
alarm,0,1,0,0,0,1,0,0,1,0
alarming,0,1,0,0,0,1,0,0,1,0
alb,0,0,0,0,0,0,0,0,0,1
album,0,0,0,0,0,0,0,0,0,0
alchemy,0,0,0,0,0,0,0,0,0,0
alcohol,0,0,0,0,0,0,0,0,0,0
alcoholism,0,1,1,0,1,1,0,1,0,0
alcove,0,0,0,0,0,0,0,0,0,0
alert,0,0,0,0,0,0,0,0,0,0
alertness,1,0,0,1,0,1,0,0,1,0
alerts,0,0,0,1,0,1,0,0,1,0
alfalfa,0,0,0,0,0,0,0,0,0,0
algebra,0,0,0,0,0,0,0,0,0,0
algebraic,0,0,0,0,0,0,0,0,0,0
algorithm,0,0,0,0,0,0,0,0,0,0
alibi,0,0,0,0,0,0,0,0,0,0
alien,0,1,0,0,1,1,0,0,0,0
alienate,0,1,1,0,1,0,0,0,0,0
alienated,0,1,0,0,0,0,0,1,0,0
alienation,0,1,1,0,1,1,0,1,0,0
alight,0,0,0,0,0,0,0,0,0,0
aligned,0,0,0,0,0,0,0,0,0,0
alignment,0,0,0,0,0,0,0,0,0,0
alike,0,0,0,0,0,0,0,0,0,0
alimentation,1,0,0,0,0,0,0,0,0,0
alimony,0,1,0,0,0,0,0,0,0,0
aliquot,0,0,0,0,0,0,0,0,0,0
alive,1,0,0,1,0,0,1,0,0,1
alkali,0,0,0,0,0,0,0,0,0,0
alkaloids,0,0,0,0,0,0,0,0,0,0
allay,1,0,0,0,0,0,0,0,0,0
allegation,0,1,1,0,0,0,0,0,0,0
allege,0,1,0,0,0,0,0,0,0,0
alleged,0,0,0,0,0,0,0,0,0,0
allegiance,1,0,0,0,0,0,0,0,0,1
allegorical,0,0,0,0,0,0,0,0,0,0
allegory,0,0,0,0,0,0,0,0,0,0
allegro,1,0,0,0,0,0,0,0,0,0
alleviate,1,0,0,0,0,0,0,0,0,0
alleviation,1,0,0,0,0,0,0,0,0,0
alley,0,0,0,0,0,0,0,0,0,0
alliance,0,0,0,0,0,0,0,0,0,1
allied,1,0,0,0,0,0,0,0,0,1
alligator,0,0,0,0,0,0,0,0,0,0
allocate,0,0,0,0,0,0,0,0,0,0
allocation,0,0,0,0,0,0,0,0,0,0
allot,0,0,0,0,0,0,0,0,0,0
allotment,0,0,0,0,0,0,0,0,0,0
allowable,1,0,0,0,0,0,0,0,0,0
allowance,0,0,0,0,0,0,0,0,0,0
allowed,0,0,0,0,0,0,0,0,0,0
alloy,0,0,0,0,0,0,0,0,0,0
allure,1,0,0,1,0,0,1,0,1,0
alluring,1,0,0,0,0,0,0,0,0,0
allusion,0,0,0,0,0,0,0,0,0,0
alluvial,0,0,0,0,0,0,0,0,0,0
ally,1,0,0,0,0,0,0,0,0,1
almanac,0,0,0,0,0,0,0,0,0,0
almighty,1,0,0,0,0,0,0,0,0,0
aloft,0,0,0,0,0,0,0,0,0,0
aloha,1,0,0,1,0,0,1,0,0,0
alongside,0,0,0,0,0,0,0,0,0,0
aloof,0,1,0,0,0,0,0,0,0,0
aloud,0,0,0,0,0,0,0,0,0,0
alphabet,0,0,0,0,0,0,0,0,0,0
alphabetical,0,0,0,0,0,0,0,0,0,0
altar,0,0,0,0,0,0,0,0,0,0
alter,0,0,0,0,0,0,0,0,0,0
alteration,0,0,0,0,0,0,0,0,0,0
altercation,0,1,1,0,0,0,0,0,0,0
altered,0,0,0,0,0,0,0,0,0,0
alternate,0,0,0,0,0,0,0,0,0,0
alternative,0,0,0,0,0,0,0,0,0,0
altitude,0,0,0,0,0,0,0,0,0,0
alto,0,0,0,0,0,0,0,0,0,0
altogether,0,0,0,0,0,0,0,0,0,0
alumnus,0,0,0,0,0,0,0,0,0,0
alveolar,0,0,0,0,0,0,0,0,0,0
amalgam,0,0,0,0,0,0,0,0,0,0
amalgamation,0,0,0,0,0,0,0,0,0,0
amass,0,0,0,0,0,0,0,0,0,0
amateur,0,0,0,0,0,0,0,0,0,0
amaze,0,0,0,0,0,0,0,0,1,0
amazement,0,0,0,0,0,0,0,0,0,0
amazingly,1,0,0,0,0,0,1,0,1,0
ambassador,1,0,0,0,0,0,0,0,0,1
amber,0,0,0,0,0,0,0,0,0,0
ambient,0,0,0,0,0,0,0,0,0,0
ambiguity,0,0,0,0,0,0,0,0,0,0
ambiguous,0,1,0,0,0,0,0,0,0,0
ambit,0,0,0,0,0,0,0,0,0,0
ambition,1,0,0,1,0,0,1,0,0,1
ambitious,0,0,0,0,0,0,0,0,0,0
ambulance,0,0,0,0,0,1,0,0,0,1
ambush,0,1,1,0,0,1,0,0,1,0
ameliorate,1,0,0,0,0,0,0,0,0,0
amen,1,0,0,0,0,0,1,0,0,1
amenable,1,0,0,0,0,0,0,0,0,0
amend,1,0,0,0,0,0,0,0,0,0
amendment,0,0,0,0,0,0,0,0,0,0
amends,1,0,0,0,0,0,0,0,0,0
amenity,1,0,0,0,0,0,0,0,0,0
amethyst,0,0,0,0,0,0,0,0,0,0
amiable,1,0,0,0,0,0,0,0,0,0
amicable,1,0,0,0,0,0,1,0,0,0
amid,0,0,0,0,0,0,0,0,0,0
amidst,0,0,0,0,0,0,0,0,0,0
ammonia,0,0,0,0,1,0,0,0,0,0
ammunition,0,0,0,0,0,0,0,0,0,0
amnesia,0,1,0,0,0,0,0,0,0,0
amnesty,1,0,0,0,0,0,1,0,0,0
amorphous,0,0,0,0,0,0,0,0,0,0
amortization,0,0,0,0,0,0,0,0,0,1
amount,0,0,0,0,0,0,0,0,0,0
amour,1,0,0,1,0,0,1,0,0,1
ampersand,0,0,0,0,0,0,0,0,0,0
amphetamines,0,1,0,0,1,0,0,0,0,0
amphibian,0,0,0,0,0,0,0,0,0,0
amphibious,0,0,0,0,0,0,0,0,0,0
amphitheater,0,0,0,0,0,0,0,0,0,0
amplification,0,0,0,0,0,0,0,0,0,0
amplify,0,0,0,0,0,0,0,0,0,0
amplitude,0,0,0,0,0,0,0,0,0,0
amply,0,0,0,0,0,0,0,0,0,0
amputation,0,0,0,0,0,0,0,0,0,0
amulet,0,0,0,0,0,0,0,0,0,0
amuse,1,0,0,0,0,0,1,0,0,0
amused,1,0,0,0,0,0,1,0,0,0
amusement,1,0,0,0,0,0,1,0,0,0
amusing,1,0,0,0,0,0,1,0,0,0
ana,0,0,0,0,0,0,0,0,0,0
anaconda,0,1,0,0,1,1,0,0,0,0
anaesthesia,0,0,0,0,0,0,0,0,0,0
anaesthetic,0,0,0,0,0,0,0,0,0,0
anal,0,1,0,0,0,0,0,0,0,0
analgesic,0,0,0,0,0,0,0,0,0,0
analogous,0,0,0,0,0,0,0,0,0,0
analogue,0,0,0,0,0,0,0,0,0,0
analogy,0,0,0,0,0,0,0,0,0,0
analysis,0,0,0,0,0,0,0,0,0,0
analyst,1,0,0,1,0,0,0,0,0,1
analytic,0,0,0,0,0,0,0,0,0,0
analyze,0,0,0,0,0,0,0,0,0,0
analyzer,0,0,0,0,0,0,0,0,0,0
anarchism,0,1,1,0,0,1,0,0,0,0
anarchist,0,1,1,0,0,1,0,0,0,0
anarchy,0,1,1,0,0,1,0,0,0,0
anastomosis,0,0,0,0,0,0,0,0,0,0
anathema,0,1,1,0,1,1,0,1,0,0
anatomic,0,0,0,0,0,0,0,0,0,0
anatomy,0,0,0,0,0,0,0,0,0,0
ancestor,0,0,0,0,0,0,0,0,0,0
ancestral,0,0,0,0,0,0,0,0,0,1
ancestry,0,0,0,0,0,0,0,0,0,0
anchor,1,0,0,0,0,0,0,0,0,0
anchorage,1,0,0,0,0,0,0,1,0,0
ancient,0,1,0,0,0,0,0,0,0,0
ancillary,0,0,0,0,0,0,0,0,0,0
androgen,0,0,0,0,0,0,0,0,0,0
anemone,0,0,0,0,0,0,0,0,0,0
anew,0,0,0,0,0,0,0,0,0,0
angel,1,0,0,1,0,0,1,0,1,1
angelic,1,0,0,0,0,0,1,0,0,1
anger,0,1,1,0,0,0,0,0,0,0
angina,0,1,0,0,0,1,0,0,0,0
angiography,0,0,0,0,0,0,0,0,0,0
angle,0,0,0,0,0,0,0,0,0,0
angling,0,1,0,1,0,0,0,0,0,0
angry,0,1,1,0,1,0,0,0,0,0
anguish,0,1,1,0,0,1,0,1,0,0
angular,0,0,0,0,0,0,0,0,0,0
anhydrous,0,0,0,0,0,0,0,0,0,0
animal,0,0,0,0,0,0,0,0,0,0
animate,1,0,0,0,0,0,0,0,0,0
animated,1,0,0,0,0,0,1,0,0,0
animation,0,0,0,0,0,0,0,0,0,0
animosity,0,1,1,0,1,1,0,1,0,0
animus,0,1,1,0,0,0,0,0,0,0
ankle,0,0,0,0,0,0,0,0,0,0
annals,0,0,0,0,0,0,0,0,0,0
annex,0,0,0,0,0,0,0,0,0,0
annexation,0,0,0,0,0,0,0,0,0,0
annexe,0,0,0,0,0,0,0,0,0,0
annihilate,0,1,1,0,0,1,0,0,0,0
annihilated,0,1,1,0,0,1,0,1,0,0
annihilation,0,1,1,0,0,1,0,1,0,0
annotate,0,0,0,0,0,0,0,0,0,0
annotation,0,0,0,0,0,0,0,0,0,0
announce,0,0,0,0,0,0,0,0,0,0
announcement,0,0,0,1,0,0,0,0,0,0
annoy,0,1,1,0,1,0,0,0,0,0
annoyance,0,1,1,0,1,0,0,0,0,0
annoying,0,1,1,0,0,0,0,0,0,0
annuity,0,0,0,0,0,0,0,0,0,0
annul,0,1,0,0,0,0,0,0,0,0
annular,0,0,0,0,0,0,0,0,0,0
annulment,0,1,0,0,0,0,0,1,0,0
annulus,0,0,0,0,0,0,0,0,0,0
anointing,0,0,0,0,0,0,0,0,0,0
anomalous,0,0,0,0,0,0,0,0,0,0
anomaly,0,1,0,0,0,1,0,0,1,0
anon,0,0,0,0,0,0,0,0,0,0
anonymous,0,1,0,0,0,0,0,0,0,0
answer,0,0,0,0,0,0,0,0,0,0
answerable,0,0,0,0,0,0,0,0,0,1
answering,0,0,0,0,0,0,0,0,0,0
ant,0,0,0,0,0,0,0,0,0,0
antagonism,0,1,1,0,0,0,0,0,0,0
antagonist,0,1,1,0,0,0,0,0,0,0
antagonistic,0,1,1,0,1,0,0,0,0,0
ante,0,0,0,0,0,0,0,0,0,0
antecedent,0,0,0,0,0,0,0,0,0,0
antelope,0,0,0,0,0,0,0,0,0,0
antenna,0,0,0,0,0,0,0,0,0,0
anterior,0,0,0,0,0,0,0,0,0,0
anthem,0,0,0,0,0,0,0,0,0,0
anthology,0,0,0,0,0,0,0,0,0,0
anthrax,0,1,0,0,1,1,0,1,0,0
anthropology,0,0,0,0,0,0,0,0,0,0
antibiotic,0,0,0,0,0,0,0,0,0,0
antibiotics,1,0,0,0,0,0,0,0,0,0
antichrist,0,1,1,0,1,1,0,0,0,0
anticipation,0,0,0,1,0,0,0,0,0,0
anticipatory,0,0,0,1,0,0,0,0,0,0
antidote,1,0,0,1,0,0,0,0,0,1
